ID,Handle,Command,Title,Tags,Status,Variant Inventory Item ID,Variant ID,Option1 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Policy,Variant Inventory Qty,Variant Metafield: my_fields.website_product_url [url],Variant Metafield: my_fields.model [single_line_text_field],Variant Metafield: my_fields.market_model_code [single_line_text_field],Variant Metafield: my_fields.model_group_code [single_line_text_field],Variant Metafield: my_fields.product_family_code [single_line_text_field],Variant Metafield: my_fields.product_group_code [single_line_text_field],Variant Metafield: my_fields.discount_reason [list.single_line_text_field],Variant Metafield: custom.msrp [money],Variant Metafield: my_fields.product_obsolete_date [date],Variant Metafield: variant.discontinue_status_reason [single_line_text_field],Variant Metafield: custom.variant_draft_reason [list.single_line_text_field],Variant Metafield: my_fields.variant_type [list.single_line_text_field],Variant Metafield: my_fields.source_sku [variant_reference],Variant Metafield: variant.website_product_type [single_line_text_field],Variant Metafield: variant.product_brand [single_line_text_field],Variant Metafield: custom.product_launch_date [single_line_text_field]
3739275329588,fluke-27-ii-rugged-digital-multimeter,MERGE,Fluke 27 II Rugged Digital Multimeter,"0 days, Fluke-Tools",Active,29953420197940,28896366821428,Default Title,3307768,61 DAYS,0,653.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-27-ii,FLUKE-27II,27,FL2X,DMMS,A,,,,,,,,,,
3739275395124,fluke-287-true-rms-electronics-logging-multimeter,MERGE,Fluke 287 True-RMS Electronics Logging Multimeter,45 days,Active,33799959117876,32218161643572,Fluke 287,2740201,1 DAY,0,735.99,,TRUE,,deny,61,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-287,FLUKE-287,287,FL28X,DMMS,A,,,,,,,,,,
3739275427892,fluke-289-true-rms-data-logging-multimeter,MERGE,Fluke 289 True-RMS Data Logging Multimeter,,Active,33800001552436,32218204078132,Fluke 289,2675778,1 DAY,0,874.99,,TRUE,,deny,87,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-289,FLUKE-289,289,FL28X,DMMS,A,,,,,,,,,,
3739275493428,fluke-289-flukeview-forms-combo-kit,MERGE,Fluke 289 FlukeView&reg; Forms Combo Kit,"5 days, Fluke-Tools",Active,29953420591156,28896367968308,Default Title,3036206,1 DAY,0,1051.99,,TRUE,,deny,6,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-289-fvf-kit,FLUKE-289/FVF,289,FL28X,DMMS,A,,,,,,,,,,
3739292270644,fluke-77-iv-digital-multimeter,MERGE,Fluke 77 IV Digital Multimeter,"45 days, Fluke-Tools",Active,33799961280564,32218163806260,Fluke 77 IV,2727486,1 DAY,0,410.99,,TRUE,,deny,225,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-77-iv,FLUKE-77-4,77,FL7X,DMMS,A,,,,,,,,,,
3739292303412,fluke-83v-average-responding-industrial-multimeter,MERGE,Fluke 83V Average Responding Industrial Multimeter,"0 days, Fluke-Tools",Active,29953556906036,28896496812084,Default Title,2075004,1 DAY,0,460.99,,TRUE,,deny,3,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-83v,FLUKE-83-5,83,FL8X,DMMS,A,,,,,,,,,,
3739292368948,fluke-87v-industrial-multimeter,MERGE,Fluke 87V Industrial Multimeter,15 days,Active,33800004370484,32218206896180,Fluke 87V,2074974,1 DAY,0,521.99,,TRUE,,deny,402,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-87v,FLUKE-87-5,87,FL8X,DMMS,A,,,,,,,,,,
3739292434484,fluke-87v-e2-industrial-electrician-combo-kit,MERGE,Fluke 87V/E2 Industrial Electrician Combo Kit,45 days,Active,33799991656500,32218194182196,Fluke 87V/E2 Kit,2670150,1 DAY,0,713.99,,TRUE,,deny,168,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-87v-e2-kit,FLUKE-87-5/E2 KIT,87,FL8X,DMMS,A,,,,,,,,,,
3739292467252,fluke-88v-deluxe-automotive-multimeter,MERGE,Fluke 88V Deluxe Automotive Multimeter,"0 days, Fluke-Tools",Active,29953557758004,28896496943156,Default Title,2550519,1 DAY,0,578.99,,TRUE,,deny,18,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-88v,FLUKE-88-5,88,FL8X,DMMS,A,,,,,,,,,,
3739292532788,automotive-multimeters-fluke-88v-a-automotive-multimeter-combo-kit,MERGE,Automotive Multimeters: Fluke 88V/A Automotive Multimeter Combo Kit,"0 days, Fluke-Tools",Active,29953558085684,28896497270836,Default Title,2117440,31 DAYS,0,809.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-88v-a-kit,FLUKE-88-5/A KIT,88,FL8X,DMMS,A,,,,,,,,,,
